B0000 O:  1x14	1        - 1        	1        - 1        	1        - 0
B0001 O:  1x12	1        - 1        	0        - 1        	1        - 1
B0002 O:  1x11	1        - 1        	0        - 0        	1        - 1
B0003 O:  1x10	1        - 1        	1        - 1        	0        - 0
B0004 O:  1x10	1        - 0        	1        - 1        	1        - 0
B0005 O:  1x 9	1        - 1        	1        - 1        	2        - 0
B0006 O:  1x 9	1        - 0        	0        - 1        	1        - 1
B0007 O:  1x 9	1        - 1        	1        - 2        	1        - 1
B0008 O:  1x 8	0        - 0        	1        - 1        	1        - 0
B0009 O:  1x 8	0        - 1        	1        - 1        	1        - 0
B0010 O:  1x 8	2        - 1        	1        - 1        	1        - 0
B0011 O:  1x 8	1        - 0        	0        - 0        	1        - 1
B0012 O:  1x 8	1        - 1        	1        - 0        	1        - 0
B0013 O:  1x 8	1        - 1        	2        - 2        	1        - 1
B0014 O:  1x 8	0        - 0        	0        - 1        	1        - 1
B0015 O:  1x 8	1        - 1        	0        - 1        	2        - 1
B0016 O:  1x 8	0        - 1        	0        - 1        	1        - 1
B0017 O:  1x 8	1        - 1        	1        - 0        	0        - 0
B0018 O:  1x 8	1        - 0        	1        - 1        	0        - 0
B0019 O:  1x 8	1        - 1        	0        - 0        	1        - 0
B0020 O:  1x 8	1        - 1        	0        - 1        	1        - 0
B0021 O:  1x 8	1        - 2        	1        - 1        	1        - 0
B0022 O:  1x 8	1        - 1        	0        - 1        	0        - 0
B0023 O:  1x 7	1        - 1        	0        - 0        	2        - 1
B0024 O:  1x 7	0        - 0        	0        - 0        	1        - 1
B0025 O:  1x 7	1        - 0        	1        - 2        	1        - 1
B0026 O:  1x 7	0        - 0        	1        - 1        	0        - 0
B0027 O:  1x 7	1        - 1        	0        - 0        	0        - 0
B0028 O:  1x 7	0        - 1        	0        - 0        	1        - 1
B0029 O:  1x 7	1        - 2        	0        - 1        	1        - 1
B0030 O:  1x 7	2        - 1        	1        - 1        	0        - 0
B0031 O:  1x 7	2        - 1        	0        - 0        	1        - 1
B0032 O:  1x 7	0        - 0        	1        - 1        	1        - 1
B0033 O:  1x 7	1        - 2        	1        - 1        	1        - 1
B0034 O:  1x 7	1        - 1        	1        - 1        	0        - 1
B0035 O:  1x 7	1        - 0        	1        - 1        	2        - 0
B0036 O:  1x 7	1        - 1        	2        - 1        	0        - 0
B0037 O:  1x 7	2        - 1        	0        - 1        	1        - 1
B0038 O:  1x 7	2        - 1        	1        - 2        	1        - 1
B0039 O:  1x 6	1        - 1        	1        - 0        	2        - 0
B0040 O:  1x 6	1        - 1        	0        - 0        	0        - 1
B0041 O:  1x 6	1        - 2        	0        - 0        	1        - 1
B0042 O:  1x 6	0        - 0        	1        - 2        	1        - 1
B0043 O:  1x 6	1        - 1        	0        - 1        	0        - 1
B0044 O:  1x 6	0        - 0        	0        - 1        	1        - 0
B0045 O:  1x 6	0        - 1        	1        - 2        	1        - 1
B0046 O:  1x 6	2        - 1        	0        - 1        	1        - 0
B0047 O:  1x 6	1        - 1        	1        - 1        	3        - 1
B0048 O:  1x 6	1        - 0        	2        - 2        	1        - 1
B0049 O:  1x 6	1        - 0        	0        - 1        	2        - 1
B0050 O:  1x 6	2        - 1        	1        - 1        	2        - 0
B0051 O:  1x 6	1        - 1        	0        - 1        	2        - 0
B0052 O:  1x 6	0        - 2        	1        - 1        	1        - 0
B0053 O:  1x 6	1        - 1        	2        - 1        	1        - 0
B0054 O:  1x 6	0        - 0        	0        - 0        	1        - 0
B0055 O:  1x 6	1        - 0        	0        - 1        	1        - 0
B0056 O:  1x 6	2        - 2        	0        - 1        	1        - 1
B0057 O:  1x 6	0        - 1        	1        - 0        	1        - 0
B0058 O:  1x 6	0        - 1        	0        - 1        	1        - 0
B0059 O:  1x 6	1        - 2        	1        - 2        	1        - 1
B0060 O:  1x 5	1        - 1        	1        - 2        	1        - 0
B0061 O:  1x 5	0        - 0        	1        - 0        	1        - 0
B0062 O:  1x 5	2        - 2        	1        - 1        	1        - 1
B0063 O:  1x 5	1        - 0        	0        - 1        	0        - 0
B0064 O:  1x 5	2        - 1        	1        - 0        	1        - 0
B0065 O:  1x 5	1        - 0        	0        - 0        	0        - 0
B0066 O:  1x 5	0        - 0        	1        - 1        	2        - 0
B0067 O:  1x 5	1        - 1        	0        - 0        	2        - 0
B0068 O:  1x 5	1        - 0        	1        - 2        	1        - 0
B0069 O:  1x 5	1        - 0        	0        - 0        	1        - 0
B0070 O:  1x 5	0        - 2        	1        - 1        	1        - 1
B0071 O:  1x 5	0        - 1        	2        - 1        	1        - 0
B0072 O:  1x 5	0        - 0        	2        - 1        	1        - 0
B0073 O:  1x 5	1        - 1        	2        - 2        	1        - 0
B0074 O:  1x 5	0        - 1        	0        - 0        	1        - 0
B0075 O:  1x 5	1        - 1        	1        - 2        	1        - 2
B0076 O:  1x 5	0        - 1        	1        - 1        	0        - 0
B0077 O:  1x 5	1        - 2        	1        - 0        	1        - 0
B0078 O:  1x 5	1        - 0        	0        - 0        	2        - 1
B0079 O:  1x 5	0        - 0        	0        - 1        	0        - 0
B0080 O:  1x 5	2        - 2        	0        - 0        	1        - 1
B0081 O:  1x 5	0        - 0        	0        - 1        	2        - 1
B0082 O:  1x 5	1        - 1        	0        - 2        	1        - 1
B0083 O:  1x 5	0        - 1        	0        - 1        	0        - 0
B0084 O:  1x 5	1        - 1        	1        - 2        	0        - 1
B0085 O:  1x 5	1        - 1        	2        - 2        	2        - 1
B0086 O:  1x 5	2        - 1        	1        - 0        	0        - 0
B0087 O:  1x 5	1        - 0        	0        - 1        	0        - 1
B0088 O:  1x 5	1        - 1        	2        - 2        	0        - 0
B0089 O:  1x 5	2        - 0        	1        - 1        	1        - 0
B0090 O:  1x 5	1        - 2        	1        - 1        	2        - 0
