   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 0- 0	 1- 4	    18752.01	Ej Spelad	1.00	 1
 0- 0	 0- 0	 2- 4	    22085.70	Ej Spelad	1.00	 1
 0- 0	 0- 0	 3- 4	    46225.89	Ej Spelad	1.00	 1
 0- 0	 0- 0	 4- 0	     9994.05	Ej Spelad	1.00	 1
 0- 0	 0- 0	 4- 1	     8499.22	Ej Spelad	1.00	 1
 0- 0	 0- 0	 4- 2	    12748.83	Ej Spelad	1.00	 1
 0- 0	 0- 0	 4- 3	    47352.79	Ej Spelad	1.00	 1
 0- 0	 0- 0	 5- 0	    25497.65	Ej Spelad	1.00	 1
 0- 0	 0- 0	 5- 1	    36829.94	Ej Spelad	1.00	 1
 0- 0	 0- 1	 0- 4	    26846.54	Ej Spelad	1.00	 1
 0- 0	 0- 1	 1- 4	    17222.31	Ej Spelad	1.00	 1
 0- 0	 0- 1	 2- 4	    20284.05	Ej Spelad	1.00	 1
 0- 0	 0- 1	 3- 4	    42455.00	Ej Spelad	1.00	 1
 0- 0	 0- 1	 4- 0	     9178.79	Ej Spelad	1.00	 1
 0- 0	 0- 1	 4- 1	     7805.89	Ej Spelad	1.00	 1
 0- 0	 0- 1	 4- 2	    11708.84	Ej Spelad	1.00	 1
 0- 0	 0- 1	 4- 3	    43489.96	Ej Spelad	1.00	 1
 0- 0	 0- 1	 5- 0	    23417.67	Ej Spelad	1.00	 1
 0- 0	 0- 1	 5- 1	    33825.53	Ej Spelad	1.00	 1
 0- 0	 0- 2	 0- 4	    45910.88	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 4	    29452.27	Ej Spelad	1.00	 1
 0- 0	 0- 2	 2- 4	    34688.22	Ej Spelad	1.00	 1
 0- 0	 0- 2	 3- 3	    22617.37	Ej Spelad	1.00	 1
 0- 0	 0- 2	 4- 0	    15696.85	Ej Spelad	1.00	 1
 0- 0	 0- 2	 4- 1	    13349.03	Ej Spelad	1.00	 1
 0- 0	 0- 2	 4- 2	    20023.55	Ej Spelad	1.00	 1
 0- 0	 0- 2	 5- 0	    40047.10	Ej Spelad	1.00	 1
 0- 0	 0- 3	 1- 2	     6145.79	Ej Spelad	1.00	 1
 0- 0	 0- 3	 1- 3	    13931.41	Ej Spelad	1.00	 1
 0- 0	 0- 3	 2- 0	     5573.07	Ej Spelad	1.00	 1
 0- 0	 0- 3	 2- 2	     7549.60	Ej Spelad	1.00	 1
 0- 0	 0- 3	 2- 3	    22321.34	Ej Spelad	1.00	 1
 0- 0	 0- 3	 3- 0	    11849.65	Ej Spelad	1.00	 1
 0- 0	 0- 3	 3- 2	    15935.74	Ej Spelad	1.00	 1
 0- 0	 0- 3	 3- 3	    43500.08	Ej Spelad	1.00	 1
 0- 0	 0- 3	 4- 0	    30189.81	Ej Spelad	1.00	 1
 0- 0	 0- 3	 4- 1	    25674.25	Ej Spelad	1.00	 1
 0- 0	 0- 3	 4- 2	    38511.37	Ej Spelad	1.00	 1
 0- 0	 0- 4	 0- 0	    14474.10	Ej Spelad	1.00	 1
 0- 0	 0- 4	 0- 1	    16870.17	Ej Spelad	1.00	 1
 0- 0	 0- 4	 0- 2	    28125.58	Ej Spelad	1.00	 1
 0- 0	 0- 4	 1- 0	    12330.69	Ej Spelad	1.00	 1
 0- 0	 0- 4	 1- 1	     9457.23	Ej Spelad	1.00	 1
 0- 0	 0- 4	 1- 2	    18769.58	Ej Spelad	1.00	 1
 0- 0	 0- 4	 1- 3	    42547.29	Ej Spelad	1.00	 1
 0- 0	 0- 4	 2- 0	    17020.46	Ej Spelad	1.00	 1
 0- 0	 0- 4	 2- 1	    14561.95	Ej Spelad	1.00	 1
 0- 0	 0- 4	 2- 2	    23056.88	Ej Spelad	1.00	 1
 0- 0	 0- 4	 3- 0	    36189.47	Ej Spelad	1.00	 1
 0- 0	 0- 4	 3- 1	    28624.12	Ej Spelad	1.00	 1
 0- 0	 0- 4	 3- 2	    48668.60	Ej Spelad	1.00	 1
 0- 0	 0- 5	 1- 1	    40375.10	Ej Spelad	1.00	 1
 0- 0	 1- 0	 1- 4	    17682.29	Ej Spelad	1.00	 1
 0- 0	 1- 0	 2- 4	    20825.81	Ej Spelad	1.00	 1
 0- 0	 1- 0	 3- 3	    13578.82	Ej Spelad	1.00	 1
 0- 0	 1- 0	 3- 4	    43588.90	Ej Spelad	1.00	 1
 0- 0	 1- 0	 4- 0	     9423.94	Ej Spelad	1.00	 1
 0- 0	 1- 0	 4- 1	     8014.37	Ej Spelad	1.00	 1
 0- 0	 1- 0	 4- 2	    12021.56	Ej Spelad	1.00	 1
 0- 0	 1- 0	 4- 3	    44651.51	Ej Spelad	1.00	 1
 0- 0	 1- 0	 5- 0	    24043.12	Ej Spelad	1.00	 1
 0- 0	 1- 0	 5- 1	    34728.95	Ej Spelad	1.00	 1
 0- 0	 1- 1	 0- 4	    18823.98	Ej Spelad	1.00	 1
 0- 0	 1- 1	 1- 4	    12075.76	Ej Spelad	1.00	 1
 0- 0	 1- 1	 1- 5	    47408.55	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 4	    29768.16	Ej Spelad	1.00	 1
 0- 0	 1- 1	 4- 0	     6435.89	Ej Spelad	1.00	 1
 0- 0	 1- 1	 4- 1	     5473.26	Ej Spelad	1.00	 1
 0- 0	 1- 1	 4- 2	     8209.88	Ej Spelad	1.00	 1
 0- 0	 1- 1	 4- 3	    30493.85	Ej Spelad	1.00	 1
 0- 0	 1- 1	 4- 4	    45821.41	Ej Spelad	1.00	 1
 0- 0	 1- 1	 5- 0	    16419.77	Ej Spelad	1.00	 1
 0- 0	 1- 1	 5- 1	    23717.44	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 4	    32014.86	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 4	    20537.83	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 4	    24189.00	Ej Spelad	1.00	 1
 0- 0	 1- 2	 3- 3	    15771.68	Ej Spelad	1.00	 1
 0- 0	 1- 2	 4- 0	    10945.82	Ej Spelad	1.00	 1
 0- 0	 1- 2	 4- 1	     9308.63	Ej Spelad	1.00	 1
 0- 0	 1- 2	 4- 2	    13962.94	Ej Spelad	1.00	 1
 0- 0	 1- 2	 5- 0	    27925.89	Ej Spelad	1.00	 1
 0- 0	 1- 2	 5- 1	    40337.39	Ej Spelad	1.00	 1
 0- 0	 1- 3	 1- 4	    45289.80	Ej Spelad	1.00	 1
 0- 0	 1- 3	 2- 0	     4455.83	Ej Spelad	1.00	 1
 0- 0	 1- 3	 3- 0	     9474.13	Ej Spelad	1.00	 1
 0- 0	 1- 3	 3- 2	    12741.07	Ej Spelad	1.00	 1
 0- 0	 1- 3	 3- 3	    34779.54	Ej Spelad	1.00	 1
 0- 0	 1- 3	 4- 0	    24137.61	Ej Spelad	1.00	 1
 0- 0	 1- 3	 4- 1	    20527.29	Ej Spelad	1.00	 1
